ISSUER_ID,ISSUER_NAME,LOCATION_NAME,LOCATION_ADDRESS,LATITUDE,LONGITUDE,COUNTRY,COUNTRY_ISO3,POSTCODE,STATE,CITY,SOURCE_URL,SOURCE_TYPE,ACTIVITY_AT_SOURCE,coord_source
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,Media/Press,"Contact form: click, here, Email: media@asus.com",,,,,,,here,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,ASUS Canada Branch Office,"70 Gough Road, Markham, Ontario L3R 0E9, Canada",,,Canada,,,,Markham,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,ASUS Mexico Branch Office,"Av. Insurgentes Sur 1647 Piso 10,, Col. San Jose Insurgentes CP. 03900",,,Mexico,,,,,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,Australia,"Unit 6, 112-118 Talavera Road, North Ryde, NSW 2113, Australia",,,Australia,,,,North Ryde,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,Hong Kong,"8/F, Ming Tak Commercial Building, 101 Wan Chai Road, Wan Chai, Hong Kong",,,Hong Kong,,,,Ming Tak Commercial Building,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,Indonesia,"Rukan Sentra Kelapa Gading, Jl. Mandiri Tengah Blok M / I - 7, Jakarta 14240",,,Indonesia,,,,Rukan Sentra Kelapa Gading,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,Singapore,"15A Changi Business Park Central 1, 05-01 EIGHTRIUM, Singapore 486035",,,Singapore,,,,,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,South Africa,"6th Floor, Twin Towers West,, Sandton City, Sandton 2196, Johannesburg, Gauteng,, R.S.A",,,South Africa,,,,Twin Towers West,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,Thailand,"Q.House Sathorn Building, 17th Floor, South Sathorn Rd., Tungmahamek, Sathorn, Bangkok 10120, Thailand",,,Thailand,,,,Tungmahamek,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
IID000000002141568,ASUSTEK COMPUTER INCORPORATION,UAE,"Al garhoud area, zalfa building, office 103, dubai UAE, Kisikli / Camlica / Uskudar / Istanbul",,,UAE,,,,Al garhoud area,https://www.asus.com/us/About_ASUS/Facilities-Branches/,COMPANY WEBSITE,Corporate Office / Branch,
